actrolga,bctprd,dclagr,dclaid,dclcrm,dclenv,dclmig,dclwlfr,gincdif,ginveco,lawobey,lrscale,polintr,aesfdrk,blgetmg,dscrgnd,dscrrlg,health,inprdsc,sclmeet,ccnthum,vteumbgb,impenva,impfreea,impfuna,impricha,impsafea,imptrada,ipadvnta,ipcrtiva,iplylfra,ipmodsta,ipudrsta,cntryfcz,origfcz,ideo_fc,cluster,OfiMed_fc,ppltrst_fc,dmcntov_fc,euftf_fc,stfeco_fc,stfedu_fc,stfgov_fc,stfhlth_fc,stflife_fc,trstplc_fc,trstplt_fc,trstun_fc,trstsci_fc,imbgeco_fc,atchctr_fc,atcherp_fc,happy_fc,rlgdgr_fc
2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,4,2,1,2.0,0,0,2,6.0,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,4,0.0,3,3,2,0,1,1,1,1,2,1,1,1,2,1,2,1,2,1
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,5,4.0,2.0,3,1,1,2.0,0,0,2,4.0,3,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,1,0.0,3,1,2,2,0,0,1,2,2,2,2,2,2,2,2,1,2,0
1.0,2,3.0,1.0,1.0,1.0,3.0,3.0,3,4.0,2.0,6,3,3,2.0,0,0,3,3.0,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,7,1,4,0.0,4,3,2,1,1,2,1,1,2,1,1,1,2,1,2,1,2,1
3.0,1,3.0,1.0,1.0,1.0,3.0,3.0,5,4.0,2.0,10,1,1,2.0,0,0,2,1.0,6,2.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,20,1,4,0.0,3,2,2,0,0,0,0,0,1,1,0,0,2,0,2,2,1,0
3.0,2,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,5,2,2,2.0,0,1,2,5.0,6,3.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,20,1,2,0.0,3,3,2,1,1,1,1,1,2,2,1,1,2,1,2,2,2,1
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,1,4.0,2.0,2,1,1,2.0,0,0,3,4.0,2,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,7,1,0,0.0,3,3,2,1,1,2,0,2,1,2,1,2,2,1,2,1,2,0
2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,1,4.0,2.0,3,1,1,2.0,0,0,2,4.0,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,12,1,1,0.0,3,3,2,1,1,1,0,1,2,2,0,1,2,2,2,1,2,0
2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,8,3,3,2.0,0,0,3,4.0,2,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,4,0.0,3,2,2,1,1,1,1,2,2,1,1,2,2,1,2,1,2,1
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,5,2,1,2.0,0,0,3,3.0,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,2,0.0,3,1,2,2,2,1,1,0,2,0,0,1,2,2,2,2,1,0
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,10,3,2,2.0,0,0,2,4.0,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,7,1,4,0.0,3,3,2,1,2,2,1,2,2,1,1,2,2,1,2,1,2,1
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,5,2,2,2.0,0,0,3,1.0,3,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,8,1,2,0.0,3,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1
2.0,2,1.0,1.0,2.0,2.0,2.0,3.0,2,2.0,2.0,5,3,1,2.0,0,0,4,4.0,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,2,0.0,3,3,2,1,1,1,0,1,1,2,1,1,2,1,2,1,1,1
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,5,3,3,2.0,0,0,2,4.0,7,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,2,0.0,3,3,2,2,1,1,1,0,2,2,1,0,2,0,2,1,2,1
3.0,2,3.0,1.0,1.0,1.0,3.0,3.0,1,4.0,2.0,5,2,3,2.0,0,0,2,6.0,4,3.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,7,1,2,0.0,4,1,2,0,1,2,1,1,2,2,1,1,2,1,2,1,2,2
2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,4,4.0,2.0,6,1,2,2.0,0,0,3,4.0,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,4,0.0,3,3,2,1,1,1,2,1,2,2,1,1,2,2,2,1,2,2
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,1,4.0,2.0,4,1,2,2.0,0,0,3,4.0,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,7,1,4,0.0,3,4,2,1,2,2,1,1,1,2,2,2,2,1,2,1,2,0
2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,3,4.0,2.0,5,2,1,2.0,0,0,3,2.0,2,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,0,1,2,0.0,3,0,2,0,1,0,0,1,2,1,0,0,2,1,2,1,0,0
3.0,1,3.0,1.0,1.0,1.0,3.0,3.0,4,4.0,2.0,4,2,2,2.0,0,0,2,2.0,6,5.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,4,0.0,3,3,2,2,2,1,1,2,2,2,1,2,2,1,2,2,2,1
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,4,4.0,2.0,5,4,1,2.0,0,0,2,4.0,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,12,1,2,0.0,3,2,2,2,1,2,0,1,2,1,1,1,2,2,2,1,2,1
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,1,4.0,2.0,3,2,1,2.0,0,0,3,4.0,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,7,1,1,0.0,3,3,2,1,1,2,1,1,2,2,1,2,2,1,2,1,2,1
4.0,2,3.0,1.0,1.0,1.0,3.0,3.0,4,4.0,2.0,8,3,2,2.0,0,0,2,1.0,6,3.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,7,1,4,0.0,4,3,2,1,1,2,0,0,2,2,1,1,2,1,2,1,2,1
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,5,2,2,2.0,0,0,2,4.0,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,12,1,2,0.0,3,2,2,0,0,1,1,1,2,1,1,1,2,1,2,1,1,1
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,5,1,2,2.0,0,0,2,4.0,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,2,2,0.0,3,2,2,0,0,1,1,0,0,1,0,1,2,0,2,1,1,1
5.0,2,3.0,1.0,1.0,1.0,3.0,3.0,1,4.0,2.0,5,2,3,2.0,0,0,3,3.0,2,2.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,2,2,0.0,3,2,2,1,1,1,0,1,1,2,0,0,2,1,2,1,1,1
2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,7,3,3,2.0,0,0,2,3.0,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,3,0.0,3,1,1,0,1,0,1,1,1,1,0,0,2,0,2,1,1,0
4.0,1,3.0,1.0,1.0,1.0,3.0,3.0,3,4.0,2.0,5,1,1,2.0,0,0,3,4.0,6,3.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,0,1,2,0.0,4,2,2,0,1,1,0,2,1,1,0,1,2,1,2,1,1,2
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,5,1,1,2.0,0,0,1,4.0,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,2,0.0,3,3,2,2,1,1,1,1,2,2,1,2,2,2,2,1,2,2
4.0,1,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,3,1,1,2.0,0,0,2,3.0,6,4.0,1.0,1.0,3.0,2.0,5.0,2.0,5.0,6.0,4.0,2.0,4.0,3.0,7,1,1,0.0,3,3,2,1,1,2,0,1,2,2,1,1,2,1,2,2,2,0
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,3,4.0,2.0,5,3,2,2.0,0,0,4,4.0,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,20,3,2,0.0,3,2,2,0,0,1,0,0,1,0,0,1,2,1,2,1,1,0
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,5,3,2,2.0,0,0,3,1.0,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,8,1,2,0.0,4,2,2,2,1,1,1,1,0,2,1,2,2,0,2,2,0,1
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,6,3,2,2.0,0,0,1,4.0,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,20,1,4,0.0,3,3,2,1,1,1,1,1,2,2,1,1,2,1,2,1,2,1
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,5,3,2,2.0,0,0,3,3.0,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,2,0.0,3,2,1,0,1,1,1,2,2,1,1,1,2,0,2,1,2,0
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,1,4.0,2.0,7,1,1,2.0,0,0,1,4.0,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,7,1,3,0.0,3,1,2,0,0,1,0,1,2,2,0,2,2,0,2,1,1,1
2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,8,2,1,2.0,0,0,2,1.0,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,8,1,4,0.0,3,2,2,2,0,0,1,1,1,2,0,2,2,0,2,1,2,1
2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,2,1,2,2.0,0,0,2,4.0,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,8,2,0,0.0,3,3,2,1,1,1,0,1,1,1,1,1,2,1,2,1,1,0
2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,3,4.0,2.0,0,2,2,2.0,0,0,1,3.0,5,3.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,12,1,0,0.0,3,3,2,1,1,2,1,1,2,1,0,2,2,2,2,1,1,0
2.0,2,4.0,1.0,1.0,3.0,2.0,3.0,4,3.0,1.0,4,2,2,2.0,0,0,2,4.0,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,0,1,4,0.0,3,3,2,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,5,4.0,2.0,3,1,1,2.0,0,0,1,4.0,7,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,8,1,1,0.0,3,3,2,1,1,1,0,2,2,1,0,2,2,1,2,1,2,0
3.0,2,3.0,1.0,1.0,1.0,3.0,3.0,4,4.0,2.0,5,2,1,2.0,0,0,2,4.0,7,5.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,0,1,2,0.0,3,2,2,1,1,0,1,2,2,1,1,0,2,2,1,1,2,1
2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,1,4.0,2.0,3,2,2,2.0,0,0,3,4.0,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,20,1,1,0.0,3,1,2,0,1,2,0,0,1,1,0,0,2,0,2,1,1,1
1.0,2,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,4,4,3,2.0,0,0,1,3.0,6,3.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,12,3,4,0.0,3,1,2,1,1,1,1,0,1,2,1,2,2,2,1,1,2,2
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,4,3,2,1.0,0,0,3,4.0,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,3,4,0.0,3,1,2,2,0,0,1,1,1,2,1,1,2,1,2,1,1,0
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,1,4.0,2.0,4,2,2,2.0,0,0,3,0.0,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,12,3,4,0.0,3,1,2,1,1,1,1,1,1,1,0,1,2,1,2,1,1,0
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,3,4.0,2.0,6,2,1,2.0,0,0,1,4.0,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,4,0.0,3,3,2,1,1,2,1,1,2,2,1,2,2,2,2,1,2,2
4.0,1,3.0,1.0,1.0,1.0,3.0,3.0,4,4.0,2.0,5,3,1,2.0,0,0,1,2.0,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,7,1,2,0.0,3,3,2,1,2,2,2,1,2,2,1,1,2,1,2,2,2,0
2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,5,2,1,2.0,0,0,2,4.0,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,2,0.0,3,3,2,1,0,1,2,1,2,2,1,1,2,2,2,1,1,1
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,3,4.0,2.0,3,2,1,2.0,0,0,2,5.0,7,5.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,1,0.0,3,4,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,1,4.0,2.0,5,3,2,2.0,0,0,1,4.0,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,12,1,2,0.0,3,1,2,1,0,1,1,0,2,2,1,1,2,1,2,1,2,1
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,6,3,2,2.0,0,0,2,2.0,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,4,0.0,3,1,2,0,0,1,1,1,2,1,0,0,2,0,2,1,2,1
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,1,4.0,2.0,4,3,1,2.0,0,0,1,4.0,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,8,1,4,0.0,3,0,2,0,0,1,0,1,0,1,0,1,2,0,2,1,1,1
1.0,2,3.0,1.0,1.0,1.0,3.0,3.0,1,4.0,2.0,5,3,2,2.0,0,0,2,4.0,4,3.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,2,0.0,4,1,2,1,1,1,1,1,2,1,1,0,2,2,1,1,1,0
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,4,4.0,2.0,5,3,3,2.0,0,0,2,4.0,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,20,1,2,0.0,3,2,2,0,2,2,0,1,2,0,0,0,2,1,2,1,2,0
2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,4,4.0,2.0,5,1,3,2.0,0,0,2,2.0,3,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,2,0.0,3,1,2,2,1,2,2,2,2,1,1,1,2,1,2,1,2,2
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,1,4.0,2.0,6,4,2,2.0,0,0,2,1.0,6,3.0,1.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,12,1,4,0.0,3,0,2,2,1,1,0,1,2,0,0,0,2,0,1,2,2,1
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,0,2,2,2.0,0,0,2,4.0,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,12,3,0,0.0,3,3,2,1,1,0,1,1,0,1,0,0,2,2,2,1,2,0
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,4,4.0,2.0,3,2,1,2.0,0,0,3,4.0,3,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,1,0.0,3,1,2,1,1,0,0,1,1,1,0,1,2,1,2,1,2,0
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,4,1,1,2.0,0,0,1,2.0,5,3.0,1.0,1.0,3.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,7,2,4,0.0,3,3,2,1,2,2,1,2,2,2,1,1,2,1,2,1,2,0
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,5,4.0,2.0,8,2,1,2.0,0,0,1,4.0,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,8,2,4,0.0,3,3,2,2,1,1,1,2,2,1,0,1,2,2,2,1,2,2
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,7,3,2,2.0,0,0,3,3.0,3,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,7,1,3,0.0,3,2,2,1,1,2,1,1,1,2,1,2,2,1,2,1,2,1
4.0,1,3.0,1.0,1.0,1.0,3.0,3.0,1,4.0,2.0,3,1,3,2.0,0,0,4,4.0,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,1,0.0,3,3,2,2,1,0,1,2,2,1,1,1,2,1,2,1,1,0
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,3,1,2,2.0,0,0,2,4.0,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,1,0.0,3,3,2,1,1,1,1,1,2,2,1,1,2,2,2,1,2,1
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,1,4.0,2.0,4,2,2,2.0,0,0,3,3.0,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,7,1,4,0.0,3,3,1,1,1,2,1,1,2,2,1,1,2,1,2,1,2,1
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,4,4.0,2.0,5,2,2,2.0,0,0,2,1.0,3,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,12,1,2,0.0,3,1,2,1,2,1,1,1,2,1,1,2,2,1,2,1,2,1
3.0,2,3.0,1.0,1.0,1.0,3.0,3.0,1,4.0,2.0,6,2,1,2.0,0,0,2,4.0,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,12,1,4,0.0,4,2,2,1,1,1,1,1,2,1,1,0,2,1,2,1,2,1
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,5,2,2,2.0,0,0,1,4.0,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,8,2,2,0.0,3,1,2,2,1,2,1,2,2,2,1,2,2,1,2,1,2,2
2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,3,1,1,2.0,0,0,2,4.0,7,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,20,3,1,0.0,3,3,2,1,0,1,1,1,2,1,1,1,2,2,2,1,2,1
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,4,4.0,2.0,5,2,1,2.0,0,0,1,4.0,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,0,1,2,0.0,3,1,2,0,1,2,1,2,1,2,1,1,2,1,2,1,2,0
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,9,3,2,2.0,0,0,3,1.0,3,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,7,1,4,0.0,3,3,2,0,1,2,1,1,2,2,1,2,2,1,2,1,2,1
2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,4,4.0,2.0,5,3,2,2.0,0,0,2,4.0,7,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,15,1,2,0.0,3,2,2,1,1,1,1,1,2,1,1,2,2,1,2,1,2,0
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,5,2,2,2.0,0,0,3,4.0,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,7,1,2,0.0,3,2,2,1,1,1,1,2,1,2,2,2,2,1,2,1,1,1
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,9,4,2,2.0,0,0,1,4.0,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,4,0.0,3,1,2,1,1,1,1,1,1,1,0,1,2,0,2,1,1,0
2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,3,3,3,2.0,0,0,2,4.0,7,4.0,1.0,2.0,2.0,3.0,5.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0,20,1,1,0.0,3,2,2,1,1,2,1,2,2,1,1,1,2,1,1,2,2,0
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,1,4.0,2.0,6,1,3,1.0,0,0,2,4.0,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,12,3,4,0.0,3,2,2,1,0,2,0,1,2,2,1,1,2,1,2,1,2,2
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,10,4,4,2.0,0,0,4,4.0,3,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,7,1,4,0.0,3,1,2,1,2,2,1,2,1,0,0,0,2,0,2,1,2,1
2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,1,4.0,2.0,5,3,1,2.0,0,1,3,4.0,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,8,1,2,0.0,3,2,2,1,0,0,0,2,2,0,1,1,2,1,2,1,1,1
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,1,4.0,2.0,5,3,2,2.0,0,0,1,3.0,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,12,2,2,0.0,3,0,2,1,1,2,0,2,1,1,0,0,2,0,2,1,2,1
1.0,1,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,3,2,2,2.0,0,0,3,4.0,4,3.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,7,1,1,0.0,3,3,2,1,1,2,0,1,2,1,0,1,2,0,2,1,2,2
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,5,3,3,2.0,1,0,3,2.0,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,8,1,2,0.0,4,1,2,0,0,0,0,0,0,1,0,0,2,1,1,1,1,1
4.0,2,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,3,1,3,2.0,0,0,2,3.0,7,3.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,12,1,1,0.0,3,0,2,1,1,0,0,0,2,2,1,2,2,2,2,1,2,0
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,7,3,2,2.0,0,0,2,3.0,7,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,7,1,3,0.0,3,3,2,1,1,2,1,1,2,2,1,2,2,1,2,1,2,1
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,7,1,1,2.0,0,0,3,2.0,3,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,3,0.0,3,0,1,2,1,0,1,1,2,1,1,0,2,0,2,1,2,0
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,1,4.0,2.0,5,4,2,2.0,0,0,3,4.0,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,7,1,2,0.0,3,2,2,1,1,2,0,1,2,1,0,1,2,0,2,1,2,1
2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,2,4.0,2.0,4,2,2,2.0,0,0,3,4.0,3,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,7,1,4,0.0,3,2,2,1,0,1,0,1,2,1,0,0,2,1,2,1,2,2
2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,3,4.0,2.0,5,3,1,2.0,0,0,1,4.0,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,15,1,2,0.0,3,3,2,0,2,1,1,1,2,2,1,1,2,2,2,1,2,1
2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,1,4.0,2.0,5,2,2,2.0,0,0,2,4.0,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,8,2,2,0.0,3,1,2,1,0,0,0,0,1,1,0,1,2,1,2,1,1,0
